,cleaned_entity_name,entity_name,lei,isin,LEI
10015,Tongshan County StateOwned Assets Management,Tongshan County State-Owned Assets Management,,,
10016,Tongxiang Kaishi Trading,Tongxiang Kaishi Trading,,,
10017,Tongyu Shanneng New Energy,Tongyu Shanneng New Energy,,,
10018,Toptip Holding,Toptip Holding,,,
10019,Town Collective Industrial Association of Shangdang District,"""Town Collective Industrial Association of Shangdang District",,,
10020,Towngas Investments,Towngas Investments,,,
10021,TPG Capital,TPG Capital,,,
10022,Tractebel Windsor Power,Tractebel Windsor Power,,,
10023,Trade Union Committee of Pingdingshan Thermal Power Group,Trade Union Committee of Pingdingshan Thermal Power Group,,,
10024,Trakya Elektrik Ãœretim ve Ticaret,Trakya Elektrik Ãœretim ve Ticaret,,,
10025,Transportes Interilhas de Cabo Verde,Transportes Interilhas de Cabo Verde,,,
10026,Triangle Tires,Triangle Tires,,,
10027,Tsingtao Brewery Group,Tsingtao Brewery Group,,,
10028,Tsingtuo Group,Tsingtuo Group,,,
10029,Tunliu County Zhongxin Industry and Trade,Tunliu County Zhongxin Industry and Trade,,,
10030,Tunliu Jinlian Trade,Tunliu Jinlian Trade,,,
10031,Tunliu Litong Industry and Trade,Tunliu Litong Industry and Trade,,,
10032,Tuokesun Fengcheng State Owned Capital Operation,Tuokesun Fengcheng State Owned Capital Operation,,,
10033,Tuokesun Jincheng Industrial Investment,Tuokesun Jincheng Industrial Investment,,,
10034,Tuokesun Panji Coal Industry,Tuokesun Panji Coal Industry,,,
10035,Turkmenneftegaz,Turkmenneftegaz,,,
10036,Tyloo Investment Group,Tyloo Investment Group,,,
10037,Ukraine International Airlines,Ukraine International Airlines,,,
10038,Ulanhu Foundation,Ulanhu Foundation,,,
10039,Union Life Insurance,Union Life Insurance,,,
10040,United Coal  Yuzhkuzbassugol,United Coal Company Yuzhkuzbassugol,,,
10041,Universal Coal and Energy Holdings South Africa,Universal Coal and Energy Holdings South Africa,,,
10042,UNS Energy,UNS Energy,,,
10043,UOB Kay Hian Nominees Asing,UOB Kay Hian Nominees (Asing),,,
10044,UPM Uruguay,UPM Uruguay,,,
10045,Urumqi Jinghuan Environmental Energy,Urumqi Jinghuan Environmental Energy,,,
10046,Uzbekiston Temir Yullari AO,Uzbekiston Temir Yullari AO,,,
10047,Value Partners Goldstate Fund Management,Value Partners Goldstate Fund Management,,,
10048,Vcanland Holdings Group,Vcanland Holdings Group,,,
10049,Veolia Energia MagyarorszÃg,Veolia Energia MagyarorszÃ¡g,,,
10050,Villager Committee of Kouquan Township,"""Villager Committee of Kouquan Township",,,
10051,Villager Committee of Xiazhangjiafen,"""Villager Committee of Xiazhangjiafen",,,
10052,Villagers Committee of Changjiang Village,"""Villagers Committee of Changjiang Village",,,
10053,Villagers Committee of Dongling Village,"""Villagers Committee of Dongling Village",,,
10054,Villagers Committee of Guangou Village,"""Villagers Committee of Guangou Village",,,
10055,Villagers Committee of Guoyu Village,"""Villagers Committee of Guoyu Village",,,
10056,Villagers Committee of Huangcheng Village,"""Villagers Committee of Huangcheng Village",,,
10057,Villagers Committee of Huaxi Xinshi Village,"""Villagers Committee of Huaxi Xinshi Village",,,
10058,Villagers Committee of Huojiagou Village,"""Villagers Committee of Huojiagou Village",,,
10059,Villagers Committee of Nanshan Village,"""Villagers Committee of Nanshan Village",,,
10060,Villagers Committee of Qingquanzhai Village,"""Villagers Committee of Qingquanzhai Village",,,
10061,Villagers Committee of Shangliang Village,"""Villagers Committee of Shangliang Village",,,
10062,Villagers Committee of Shishan Village,"""Villagers Committee of Shishan Village",,,
10063,Villagers Committee of Tuncheng Village,"""Villagers Committee of Tuncheng Village",,,
10064,Villagers Committee of Xigu County,"""Villagers Committee of Xigu County",,,
10065,Vinamra Consultancy,Vinamra Consultancy,,,
10066,Visakhapatnam Steel Plant,Visakhapatnam Steel Plant,,,
10067,voestalpine Texas,voestalpine Texas,,,
10068,Vulcan Steel,Vulcan Steel,,,
10069,Wai Kee Holdings,Wai Kee Holdings,,,
